borough,property_type,timestamp_of_call
Croydon,Purpose Built Flats/Maisonettes - 4 to 9 storeys,17/02/2017 15:15
Kensington And chelsea,Purpose Built Flats/Maisonettes - 10 or more storeys,17/02/2017 21:30
Lambeth,Purpose Built Flats/Maisonettes - 10 or more storeys,17/02/2017 12:59
Hammersmith And fulham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,17/02/2017 22:19
Richmond Upon thames,Bungalow - single occupancy,17/02/2017 13:25
Havering,House - single occupancy,17/02/2017 13:49
Barking And dagenham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,17/02/2017 19:36
Southwark,House - single occupancy,17/02/2017 14:08
Southwark,Self contained Sheltered Housing,17/02/2017 22:44
Lambeth,Converted Flat/Maisonettes - 3 or more storeys,17/02/2017 20:41
Not geo-coded,Purpose Built Flats/Maisonettes - Up to 3 storeys,18/02/2017 08:58
Tower Hamlets,Purpose Built Flats/Maisonettes - 10 or more storeys,18/02/2017 04:46
Southwark,House - single occupancy,18/02/2017 11:18
Kingston Upon thames,Purpose Built Flats/Maisonettes - 4 to 9 storeys,18/02/2017 19:46
Bexley,House - single occupancy,18/02/2017 18:27
Not geo-coded,House - single occupancy,18/02/2017 01:05
Haringey,House - single occupancy,18/02/2017 15:31
Greenwich,Purpose Built Flats/Maisonettes - Up to 3 storeys,18/02/2017 17:03
Lambeth,Retirement/Old Persons Home,18/02/2017 15:26
Brent,Converted Flat/Maisonette - Up to 2 storeys,18/02/2017 11:13
Hillingdon,House - single occupancy,18/02/2017 16:08
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,18/02/2017 21:34
Westminster,Converted Flat/Maisonette - Up to 2 storeys,19/02/2017 18:11
Haringey,Converted Flat/Maisonette - Up to 2 storeys,19/02/2017 21:36
Croydon,House - single occupancy,19/02/2017 22:00
Greenwich,Converted Flat/Maisonette - Up to 2 storeys,19/02/2017 13:24
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,19/02/2017 18:35
Hackney,Purpose Built Flats/Maisonettes - 4 to 9 storeys,19/02/2017 13:22
Ealing,Purpose Built Flats/Maisonettes - 4 to 9 storeys,19/02/2017 16:51
Richmond Upon thames,House - single occupancy,19/02/2017 19:10
Lambeth,House - single occupancy,19/02/2017 01:42
Brent,House - single occupancy,19/02/2017 06:12
Haringey,Converted Flat/Maisonettes - 3 or more storeys,19/02/2017 14:37
Camden,House - single occupancy,19/02/2017 12:49
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,19/02/2017 15:36
Barnet,House - single occupancy,19/02/2017 12:52
Enfield,House - single occupancy,19/02/2017 13:04
Ealing,House - single occupancy,19/02/2017 18:56
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,19/02/2017 12:23
Barnet,House - single occupancy,19/02/2017 16:44
Islington,Purpose Built Flats/Maisonettes - 10 or more storeys,20/02/2017 18:46
Southwark,House - single occupancy,20/02/2017 13:22
Ealing,Purpose Built Flats/Maisonettes - Up to 3 storeys,20/02/2017 15:14
Barnet,House - single occupancy,20/02/2017 21:17
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,20/02/2017 05:42
Bromley,House - single occupancy,20/02/2017 20:47
Hounslow,Converted Flat/Maisonette - Up to 2 storeys,20/02/2017 17:08
Brent,House - single occupancy,20/02/2017 09:05
Bexley,Purpose Built Flats/Maisonettes - Up to 3 storeys,20/02/2017 22:49
Wandsworth,House - single occupancy,20/02/2017 12:37
Ealing,Licensed House in Multiple Occupation - 3 or more storeys,20/02/2017 15:29
Haringey,House - single occupancy,20/02/2017 13:35
Newham,Purpose Built Flats/Maisonettes - Up to 3 storeys,21/02/2017 21:10
Lewisham,House - single occupancy,21/02/2017 18:14
Haringey,Converted Flat/Maisonette - Up to 2 storeys,21/02/2017 11:20
Redbridge,Purpose Built Flats/Maisonettes - 4 to 9 storeys,21/02/2017 01:25
Haringey,Purpose Built Flats/Maisonettes - Up to 3 storeys,21/02/2017 17:02
Newham,Converted Flat/Maisonettes - 3 or more storeys,21/02/2017 21:39
Enfield,Purpose Built Flats/Maisonettes - Up to 3 storeys,21/02/2017 17:51
Haringey,Purpose Built Flats/Maisonettes - 4 to 9 storeys,21/02/2017 14:24
Islington,Converted Flat/Maisonettes - 3 or more storeys,21/02/2017 01:09
Islington,Converted Flat/Maisonettes - 3 or more storeys,21/02/2017 14:25
Croydon,Purpose Built Flats/Maisonettes - 4 to 9 storeys,21/02/2017 16:35
Bromley,House - single occupancy,21/02/2017 16:56
Kensington And chelsea,Purpose Built Flats/Maisonettes - 4 to 9 storeys,21/02/2017 16:08
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,21/02/2017 15:58
Southwark,Self contained Sheltered Housing,21/02/2017 02:52
Hillingdon,Nursing/Care Home/Hospice,21/02/2017 00:21
Ealing,House - single occupancy,22/02/2017 08:53
Richmond Upon thames,Purpose Built Flats/Maisonettes - Up to 3 storeys,22/02/2017 11:54
Hillingdon,House - single occupancy,22/02/2017 12:33
Hackney,Converted Flat/Maisonettes - 3 or more storeys,22/02/2017 20:05
Islington,House - single occupancy,22/02/2017 02:20
Newham,Purpose Built Flats/Maisonettes - Up to 3 storeys,22/02/2017 14:34
Ealing,Purpose Built Flats/Maisonettes - Up to 3 storeys,22/02/2017 17:54
Hackney,Retirement/Old Persons Home,22/02/2017 19:39
Bexley,Licensed House in Multiple Occupation - Up to 2 storeys,22/02/2017 10:39
Bromley,House - single occupancy,22/02/2017 11:40
Southwark,Converted Flat/Maisonette - Up to 2 storeys,22/02/2017 20:31
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,22/02/2017 22:07
Barking And dagenham,Purpose Built Flats/Maisonettes - 10 or more storeys,22/02/2017 20:10
Southwark,House - single occupancy,23/02/2017 15:58
Barnet,Nursing/Care Home/Hospice,23/02/2017 04:40
Islington,House - single occupancy,23/02/2017 16:56
Kensington And chelsea,Purpose Built Flats/Maisonettes - 4 to 9 storeys,23/02/2017 10:27
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/02/2017 18:37
Brent,House - single occupancy,23/02/2017 20:13
Newham,Converted Flat/Maisonette - Up to 2 storeys,23/02/2017 11:51
Not geo-coded,House - single occupancy,23/02/2017 11:55
Harrow,House - single occupancy,23/02/2017 15:15
Camden,Self contained Sheltered Housing,23/02/2017 19:27
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/02/2017 20:09
Richmond Upon thames,House - single occupancy,23/02/2017 11:09
Islington,Converted Flat/Maisonettes - 3 or more storeys,23/02/2017 04:32
Haringey,Purpose Built Flats/Maisonettes - 4 to 9 storeys,23/02/2017 04:23
Camden,Converted Flat/Maisonettes - 3 or more storeys,23/02/2017 19:01
Enfield,House - single occupancy,23/02/2017 14:40
Waltham Forest,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/02/2017 17:59
Lewisham,House - single occupancy,23/02/2017 16:32
Hackney,Purpose Built Flats/Maisonettes - 4 to 9 storeys,23/02/2017 14:15
Greenwich,Licensed House in Multiple Occupation - Up to 2 storeys,24/02/2017 12:54
Tower Hamlets,House - single occupancy,24/02/2017 02:17
Lambeth,Converted Flat/Maisonettes - 3 or more storeys,24/02/2017 22:32
Westminster,House - single occupancy,24/02/2017 19:25
Brent,Purpose Built Flats/Maisonettes - 4 to 9 storeys,24/02/2017 16:06
Lewisham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,24/02/2017 11:45
Barnet,Converted Flat/Maisonette - Up to 2 storeys,24/02/2017 20:09
Haringey,Converted Flat/Maisonettes - 3 or more storeys,24/02/2017 23:59
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,24/02/2017 20:39
Enfield,House - single occupancy,24/02/2017 02:34
Southwark,Retirement/Old Persons Home,24/02/2017 19:16
Redbridge,House - single occupancy,24/02/2017 18:13
Barnet,House - single occupancy,24/02/2017 19:39
Southwark,House - single occupancy,24/02/2017 17:33
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,24/02/2017 16:48
Ealing,Converted Flat/Maisonettes - 3 or more storeys,24/02/2017 11:42
Camden,Other Dwelling,24/02/2017 14:35
Bexley,House - single occupancy,24/02/2017 19:43
Waltham Forest,Converted Flat/Maisonettes - 3 or more storeys,24/02/2017 19:37
Lewisham,House - single occupancy,25/02/2017 22:53
Croydon,Purpose Built Flats/Maisonettes - Up to 3 storeys,25/02/2017 01:40
Redbridge,House - single occupancy,25/02/2017 07:40
Havering,House - single occupancy,25/02/2017 05:43
Kensington And chelsea,Purpose Built Flats/Maisonettes - 4 to 9 storeys,25/02/2017 14:00
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,25/02/2017 08:38
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,25/02/2017 06:18
Brent,Converted Flat/Maisonettes - 3 or more storeys,25/02/2017 17:33
Islington,Purpose Built Flats/Maisonettes - Up to 3 storeys,25/02/2017 16:56
Lambeth,Self contained Sheltered Housing,25/02/2017 15:58
Bexley,House - single occupancy,25/02/2017 03:00
Haringey,Purpose Built Flats/Maisonettes - Up to 3 storeys,25/02/2017 12:57
Newham,Licensed House in Multiple Occupation - 3 or more storeys,25/02/2017 05:36
Waltham Forest,House - single occupancy,25/02/2017 11:18
Merton,House - single occupancy,25/02/2017 17:21
Lambeth,House - single occupancy,25/02/2017 19:04
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,25/02/2017 11:41
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,26/02/2017 00:36
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,26/02/2017 13:19
Hammersmith And fulham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,26/02/2017 13:34
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,26/02/2017 07:21
Croydon,House - single occupancy,26/02/2017 02:13
Harrow,House - single occupancy,26/02/2017 18:14
Croydon,Converted Flat/Maisonette - Up to 2 storeys,26/02/2017 13:34
Hillingdon,House - single occupancy,26/02/2017 13:29
Barking And dagenham,House - single occupancy,26/02/2017 13:22
Croydon,House - single occupancy,26/02/2017 03:12
Brent,House - single occupancy,26/02/2017 11:44
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,26/02/2017 11:31
Croydon,Converted Flat/Maisonettes - 3 or more storeys,26/02/2017 16:50
Enfield,House - single occupancy,26/02/2017 14:37
Barnet,House - single occupancy,26/02/2017 01:25
Kensington And chelsea,Purpose Built Flats/Maisonettes - 10 or more storeys,26/02/2017 15:14
Camden,Purpose Built Flats/Maisonettes - Up to 3 storeys,26/02/2017 08:18
Redbridge,Purpose Built Flats/Maisonettes - 4 to 9 storeys,27/02/2017 10:15
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,27/02/2017 12:59
Newham,House - single occupancy,27/02/2017 01:40
Hounslow,House - single occupancy,27/02/2017 11:28
Islington,Purpose Built Flats/Maisonettes - Up to 3 storeys,27/02/2017 18:05
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,27/02/2017 13:44
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,27/02/2017 22:09
Newham,Converted Flat/Maisonettes - 3 or more storeys,27/02/2017 09:47
Merton,House - single occupancy,27/02/2017 22:33
Hillingdon,Bungalow - single occupancy,27/02/2017 18:09
Croydon,House - single occupancy,27/02/2017 06:31
Hounslow,Purpose Built Flats/Maisonettes - 4 to 9 storeys,27/02/2017 09:37
Bromley,Converted Flat/Maisonettes - 3 or more storeys,27/02/2017 07:42
Hillingdon,House - single occupancy,27/02/2017 23:01
Brent,House - single occupancy,27/02/2017 16:53
Hounslow,Purpose Built Flats/Maisonettes - Up to 3 storeys,28/02/2017 13:12
Greenwich,House - single occupancy,28/02/2017 20:47
Newham,Purpose Built Flats/Maisonettes - 10 or more storeys,28/02/2017 18:19
Greenwich,Purpose Built Flats/Maisonettes - 10 or more storeys,28/02/2017 09:32
Haringey,Converted Flat/Maisonette - Up to 2 storeys,28/02/2017 01:07
Barnet,House - single occupancy,28/02/2017 22:30
Harrow,House - single occupancy,28/02/2017 19:48
Kensington And chelsea,Purpose Built Flats/Maisonettes - Up to 3 storeys,28/02/2017 12:25
Croydon,Purpose Built Flats/Maisonettes - Up to 3 storeys,28/02/2017 12:37
Hounslow,Purpose Built Flats/Maisonettes - Up to 3 storeys,28/02/2017 23:10
Bromley,Converted Flat/Maisonette - Up to 2 storeys,28/02/2017 23:45
Croydon,Nursing/Care Home/Hospice,28/02/2017 18:08
Haringey,Converted Flat/Maisonette - Up to 2 storeys,01/03/2017 21:49
Ealing,House - single occupancy,01/03/2017 09:33
Croydon,House - single occupancy,01/03/2017 08:20
Barnet,House - single occupancy,01/03/2017 17:35
Haringey,Converted Flat/Maisonette - Up to 2 storeys,01/03/2017 14:43
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,01/03/2017 05:14
Bromley,Purpose Built Flats/Maisonettes - Up to 3 storeys,01/03/2017 11:41
Brent,Self contained Sheltered Housing,01/03/2017 17:35
Havering,House - single occupancy,01/03/2017 12:38
Kensington And chelsea,House - single occupancy,01/03/2017 18:23
Lewisham,Retirement/Old Persons Home,01/03/2017 17:42
Southwark,Purpose Built Flats/Maisonettes - Up to 3 storeys,01/03/2017 12:11
Harrow,House - single occupancy,01/03/2017 08:42
Hillingdon,House - single occupancy,01/03/2017 20:22
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,01/03/2017 10:26
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,02/03/2017 21:32
Merton,Purpose Built Flats/Maisonettes - Up to 3 storeys,02/03/2017 17:26
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,02/03/2017 21:20
Camden,Student Hall of Residence,02/03/2017 19:35
Hillingdon,House - single occupancy,02/03/2017 09:36
Lewisham,House - single occupancy,02/03/2017 18:16
Hackney,Licensed House in Multiple Occupation - 3 or more storeys,02/03/2017 00:47
Greenwich,Purpose Built Flats/Maisonettes - 4 to 9 storeys,02/03/2017 19:24
Sutton,House - single occupancy,02/03/2017 20:09
Hackney,Purpose Built Flats/Maisonettes - 4 to 9 storeys,02/03/2017 13:31
Havering,Purpose Built Flats/Maisonettes - Up to 3 storeys,03/03/2017 17:44
Newham,Purpose Built Flats/Maisonettes - Up to 3 storeys,03/03/2017 01:09
Hillingdon,House - single occupancy,03/03/2017 19:23
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,03/03/2017 21:11
Hounslow,Purpose Built Flats/Maisonettes - Up to 3 storeys,03/03/2017 04:53
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,03/03/2017 19:41
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,03/03/2017 17:26
Croydon,Purpose Built Flats/Maisonettes - 4 to 9 storeys,03/03/2017 18:25
Greenwich,House - single occupancy,03/03/2017 00:45
Wandsworth,Purpose Built Flats/Maisonettes - Up to 3 storeys,03/03/2017 12:20
Havering,Bungalow - single occupancy,03/03/2017 16:15
Enfield,Purpose Built Flats/Maisonettes - 10 or more storeys,03/03/2017 20:06
Croydon,Purpose Built Flats/Maisonettes - Up to 3 storeys,03/03/2017 15:25
Richmond Upon thames,Purpose Built Flats/Maisonettes - Up to 3 storeys,03/03/2017 13:21
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,04/03/2017 12:20
Ealing,House - single occupancy,04/03/2017 18:06
Waltham Forest,House - single occupancy,04/03/2017 12:45
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,04/03/2017 15:00
Hounslow,House - single occupancy,04/03/2017 17:15
Hounslow,House - single occupancy,04/03/2017 19:39
Ealing,House - single occupancy,04/03/2017 02:18
Richmond Upon thames,Converted Flat/Maisonette - Up to 2 storeys,04/03/2017 15:26
Wandsworth,House - single occupancy,04/03/2017 17:24
Havering,Purpose Built Flats/Maisonettes - Up to 3 storeys,04/03/2017 23:37
Kensington And chelsea,Purpose Built Flats/Maisonettes - 4 to 9 storeys,04/03/2017 10:06
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,04/03/2017 18:46
Hounslow,Purpose Built Flats/Maisonettes - Up to 3 storeys,04/03/2017 20:03
Enfield,Purpose Built Flats/Maisonettes - 10 or more storeys,04/03/2017 11:27
Waltham Forest,Converted Flat/Maisonette - Up to 2 storeys,04/03/2017 13:12
Hammersmith And fulham,Hotel/motel,04/03/2017 22:44
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,04/03/2017 19:29
Greenwich,House - single occupancy,05/03/2017 07:16
Croydon,Converted Flat/Maisonette - Up to 2 storeys,05/03/2017 11:28
Westminster,Converted Flat/Maisonettes - 3 or more storeys,05/03/2017 10:11
Hackney,Purpose Built Flats/Maisonettes - Up to 3 storeys,05/03/2017 13:47
Bromley,Purpose Built Flats/Maisonettes - Up to 3 storeys,05/03/2017 19:07
Merton,House - single occupancy,05/03/2017 19:31
Harrow,House - single occupancy,05/03/2017 12:36
Merton,Purpose Built Flats/Maisonettes - 4 to 9 storeys,05/03/2017 22:04
Camden,Purpose Built Flats/Maisonettes - Up to 3 storeys,05/03/2017 00:15
Barking And dagenham,House - single occupancy,05/03/2017 15:02
Hackney,Purpose Built Flats/Maisonettes - 4 to 9 storeys,05/03/2017 20:21
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,05/03/2017 18:28
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,05/03/2017 19:33
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,05/03/2017 18:58
Newham,House - single occupancy,05/03/2017 19:42
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,05/03/2017 08:20
Brent,Purpose Built Flats/Maisonettes - 10 or more storeys,05/03/2017 04:10
Merton,House - single occupancy,05/03/2017 16:31
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,05/03/2017 13:50
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,05/03/2017 15:14
Camden,Licensed House in Multiple Occupation - 3 or more storeys,05/03/2017 18:38
Kensington And chelsea,Purpose Built Flats/Maisonettes - Up to 3 storeys,05/03/2017 12:06
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,05/03/2017 15:05
Newham,Purpose Built Flats/Maisonettes - 10 or more storeys,05/03/2017 14:05
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/03/2017 23:26
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,06/03/2017 17:17
Hounslow,Licensed House in Multiple Occupation - Up to 2 storeys,06/03/2017 03:54
Hackney,Purpose Built Flats/Maisonettes - Up to 3 storeys,06/03/2017 11:08
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,06/03/2017 19:59
Merton,Converted Flat/Maisonette - Up to 2 storeys,06/03/2017 12:33
Camden,Unlicensed House in Multiple Occupation - 3 or more storeys,06/03/2017 00:19
Croydon,Purpose Built Flats/Maisonettes - Up to 3 storeys,06/03/2017 19:09
Camden,Converted Flat/Maisonette - Up to 2 storeys,06/03/2017 21:41
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/03/2017 17:50
Richmond Upon thames,Converted Flat/Maisonettes - 3 or more storeys,06/03/2017 03:06
Barking And dagenham,House - single occupancy,06/03/2017 20:33
Waltham Forest,House - single occupancy,06/03/2017 10:35
Enfield,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/03/2017 13:04
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/03/2017 20:36
Hammersmith And fulham,House - single occupancy,06/03/2017 00:18
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,06/03/2017 05:18
Ealing,Hotel/motel,07/03/2017 17:30
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,07/03/2017 00:06
Sutton,House - single occupancy,07/03/2017 09:16
Kingston Upon thames,House - single occupancy,07/03/2017 09:24
Hackney,Purpose Built Flats/Maisonettes - 4 to 9 storeys,07/03/2017 21:16
Newham,Purpose Built Flats/Maisonettes - Up to 3 storeys,07/03/2017 17:40
Havering,Purpose Built Flats/Maisonettes - Up to 3 storeys,07/03/2017 15:48
Hammersmith And fulham,Converted Flat/Maisonettes - 3 or more storeys,07/03/2017 21:36
Greenwich,Purpose Built Flats/Maisonettes - Up to 3 storeys,07/03/2017 02:59
Barnet,House in Multiple Occupation - 3 or more storeys (not known if licensed),07/03/2017 22:24
Lewisham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,07/03/2017 11:42
Tower Hamlets,Self contained Sheltered Housing,07/03/2017 02:01
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,07/03/2017 15:08
Bromley,Purpose Built Flats/Maisonettes - Up to 3 storeys,07/03/2017 23:33
Brent,Purpose Built Flats/Maisonettes - 10 or more storeys,07/03/2017 15:55
Westminster,Hotel/motel,07/03/2017 23:43
Hackney,Converted Flat/Maisonettes - 3 or more storeys,08/03/2017 19:53
Bexley,Purpose Built Flats/Maisonettes - 4 to 9 storeys,08/03/2017 19:14
Islington,House - single occupancy,08/03/2017 22:31
Barking And dagenham,Purpose Built Flats/Maisonettes - 10 or more storeys,08/03/2017 01:30
Barnet,House - single occupancy,08/03/2017 08:27
Hammersmith And fulham,Hotel/motel,08/03/2017 19:45
Brent,House - single occupancy,08/03/2017 04:21
Ealing,House - single occupancy,08/03/2017 16:04
Islington,Licensed House in Multiple Occupation - 3 or more storeys,08/03/2017 06:06
Southwark,Purpose Built Flats/Maisonettes - Up to 3 storeys,08/03/2017 14:04
Hackney,Purpose Built Flats/Maisonettes - Up to 3 storeys,08/03/2017 18:34
Hackney,House - single occupancy,09/03/2017 20:01
Southwark,Converted Flat/Maisonettes - 3 or more storeys,09/03/2017 01:54
Merton,Purpose Built Flats/Maisonettes - Up to 3 storeys,09/03/2017 10:08
Richmond Upon thames,House - single occupancy,09/03/2017 19:19
Hammersmith And fulham,House - single occupancy,09/03/2017 18:27
Bexley,Purpose Built Flats/Maisonettes - Up to 3 storeys,09/03/2017 21:52
Wandsworth,Purpose Built Flats/Maisonettes - Up to 3 storeys,09/03/2017 22:32
Ealing,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/03/2017 23:54
Ealing,Self contained Sheltered Housing,09/03/2017 21:02
Lewisham,House - single occupancy,09/03/2017 09:05
Hounslow,Unlicensed House in Multiple Occupation - Up to 2 storeys,09/03/2017 20:32
Hounslow,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/03/2017 00:27
Ealing,House - single occupancy,09/03/2017 11:28
Wandsworth,Converted Flat/Maisonette - Up to 2 storeys,09/03/2017 14:07
Lewisham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,09/03/2017 12:12
Hackney,Purpose Built Flats/Maisonettes - 10 or more storeys,09/03/2017 15:36
Lewisham,Converted Flat/Maisonettes - 3 or more storeys,10/03/2017 23:07
Wandsworth,House - single occupancy,10/03/2017 20:22
Greenwich,House - single occupancy,10/03/2017 12:56
Hounslow,Converted Flat/Maisonettes - 3 or more storeys,10/03/2017 01:30
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,10/03/2017 23:14
Brent,Purpose Built Flats/Maisonettes - 4 to 9 storeys,10/03/2017 14:24
Southwark,House - single occupancy,10/03/2017 19:28
Richmond Upon thames,Purpose Built Flats/Maisonettes - Up to 3 storeys,10/03/2017 22:34
Hillingdon,House - single occupancy,10/03/2017 08:20
Hackney,Boarding House/B&B for homeless/asylum seekers,10/03/2017 20:53
Southwark,Self contained Sheltered Housing,10/03/2017 07:50
Bromley,House - single occupancy,10/03/2017 17:34
Ealing,Purpose Built Flats/Maisonettes - Up to 3 storeys,10/03/2017 19:26
Bromley,House - single occupancy,10/03/2017 20:41
Kingston Upon thames,Converted Flat/Maisonettes - 3 or more storeys,11/03/2017 21:17
Ealing,Purpose Built Flats/Maisonettes - Up to 3 storeys,11/03/2017 11:20
Sutton,Nursing/Care Home/Hospice,11/03/2017 23:26
Haringey,Purpose Built Flats/Maisonettes - Up to 3 storeys,11/03/2017 16:18
Camden,Purpose Built Flats/Maisonettes - 4 to 9 storeys,11/03/2017 18:54
Sutton,House - single occupancy,11/03/2017 16:54
Bexley,Self contained Sheltered Housing,12/03/2017 17:18
Southwark,Purpose Built Flats/Maisonettes - 10 or more storeys,12/03/2017 13:17
Westminster,Self contained Sheltered Housing,12/03/2017 20:25
Haringey,Converted Flat/Maisonettes - 3 or more storeys,12/03/2017 13:20
Southwark,Purpose Built Flats/Maisonettes - Up to 3 storeys,12/03/2017 22:38
Barking And dagenham,Hotel/motel,12/03/2017 10:23
Newham,House - single occupancy,12/03/2017 17:19
Brent,Purpose Built Flats/Maisonettes - 4 to 9 storeys,12/03/2017 04:11
Waltham Forest,Purpose Built Flats/Maisonettes - Up to 3 storeys,12/03/2017 13:15
Wandsworth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,12/03/2017 23:42
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,12/03/2017 13:29
Wandsworth,House - single occupancy,12/03/2017 11:01
Croydon,Purpose Built Flats/Maisonettes - Up to 3 storeys,12/03/2017 16:12
Greenwich,House - single occupancy,13/03/2017 17:18
Croydon,House - single occupancy,13/03/2017 03:12
Wandsworth,Converted Flat/Maisonettes - 3 or more storeys,13/03/2017 11:38
Hackney,House - single occupancy,13/03/2017 18:58
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,13/03/2017 21:41
Brent,Converted Flat/Maisonettes - 3 or more storeys,13/03/2017 07:14
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,13/03/2017 11:16
Brent,Converted Flat/Maisonette - Up to 2 storeys,13/03/2017 19:29
Southwark,Purpose Built Flats/Maisonettes - 4 to 9 storeys,13/03/2017 19:36
Sutton,Purpose Built Flats/Maisonettes - Up to 3 storeys,13/03/2017 18:17
Camden,Purpose Built Flats/Maisonettes - Up to 3 storeys,13/03/2017 10:33
Hounslow,House - single occupancy,14/03/2017 14:52
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,14/03/2017 17:23
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,14/03/2017 10:47
Hillingdon,House - single occupancy,14/03/2017 00:12
Newham,House - single occupancy,14/03/2017 19:16
Barnet,Converted Flat/Maisonette - Up to 2 storeys,14/03/2017 16:46
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,14/03/2017 16:37
Newham,House - single occupancy,14/03/2017 19:05
Hackney,Converted Flat/Maisonette - Up to 2 storeys,14/03/2017 17:00
Havering,House - single occupancy,14/03/2017 23:24
Barnet,Self contained Sheltered Housing,14/03/2017 19:08
Enfield,Converted Flat/Maisonette - Up to 2 storeys,14/03/2017 20:16
Islington,House - single occupancy,14/03/2017 11:33
Richmond Upon thames,House - single occupancy,14/03/2017 18:35
Hammersmith And fulham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,14/03/2017 11:42
Waltham Forest,House - single occupancy,14/03/2017 00:49
Haringey,House - single occupancy,15/03/2017 16:34
Wandsworth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,15/03/2017 11:52
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,15/03/2017 21:13
Kensington And chelsea,House - single occupancy,15/03/2017 15:27
Islington,Purpose Built Flats/Maisonettes - Up to 3 storeys,15/03/2017 10:36
Newham,House - single occupancy,15/03/2017 08:21
Lambeth,Purpose Built Flats/Maisonettes - 10 or more storeys,15/03/2017 02:56
Newham,Nursing/Care Home/Hospice,15/03/2017 06:54
Richmond Upon thames,Purpose Built Flats/Maisonettes - 4 to 9 storeys,15/03/2017 13:56
