borough,property_type,timestamp_of_call
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,15/01/2017 19:29
Enfield,House - single occupancy,15/01/2017 17:58
Merton,House - single occupancy,15/01/2017 13:57
Barnet,Purpose Built Flats/Maisonettes - 10 or more storeys,15/01/2017 21:39
Westminster,Converted Flat/Maisonettes - 3 or more storeys,15/01/2017 10:47
Camden,House - single occupancy,15/01/2017 15:18
Barking And dagenham,Purpose Built Flats/Maisonettes - Up to 3 storeys,15/01/2017 12:04
Ealing,Purpose Built Flats/Maisonettes - 4 to 9 storeys,15/01/2017 17:50
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,15/01/2017 02:19
Ealing,Self contained Sheltered Housing,15/01/2017 22:04
Brent,Converted Flat/Maisonettes - 3 or more storeys,15/01/2017 18:41
Wandsworth,Purpose Built Flats/Maisonettes - Up to 3 storeys,15/01/2017 18:43
Barnet,Converted Flat/Maisonettes - 3 or more storeys,15/01/2017 15:24
Waltham Forest,Converted Flat/Maisonettes - 3 or more storeys,15/01/2017 18:14
Haringey,Licensed House in Multiple Occupation - Up to 2 storeys,15/01/2017 20:08
Barnet,House - single occupancy,15/01/2017 01:05
Wandsworth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,16/01/2017 22:12
Barking And dagenham,Purpose Built Flats/Maisonettes - Up to 3 storeys,16/01/2017 17:32
Merton,House - single occupancy,16/01/2017 18:04
Hackney,Purpose Built Flats/Maisonettes - Up to 3 storeys,16/01/2017 19:47
Tower Hamlets,House - single occupancy,16/01/2017 22:04
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,16/01/2017 22:24
Hounslow,Converted Flat/Maisonette - Up to 2 storeys,16/01/2017 20:25
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,16/01/2017 17:49
Greenwich,Licensed House in Multiple Occupation - Up to 2 storeys,16/01/2017 09:19
Camden,Purpose Built Flats/Maisonettes - Up to 3 storeys,17/01/2017 10:21
Sutton,House - single occupancy,17/01/2017 23:19
Tower Hamlets,Purpose Built Flats/Maisonettes - Up to 3 storeys,17/01/2017 21:24
Camden,Converted Flat/Maisonette - Up to 2 storeys,17/01/2017 08:35
Hillingdon,House - single occupancy,17/01/2017 15:28
Barnet,Purpose Built Flats/Maisonettes - Up to 3 storeys,17/01/2017 19:48
Hillingdon,Retirement/Old Persons Home,17/01/2017 13:42
Barking And dagenham,House - single occupancy,17/01/2017 21:23
Bromley,House - single occupancy,17/01/2017 13:08
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,17/01/2017 14:35
Barking And dagenham,House - single occupancy,17/01/2017 22:03
Wandsworth,Purpose Built Flats/Maisonettes - Up to 3 storeys,17/01/2017 15:58
Waltham Forest,House - single occupancy,17/01/2017 10:01
Brent,Purpose Built Flats/Maisonettes - 4 to 9 storeys,17/01/2017 19:13
Hounslow,Purpose Built Flats/Maisonettes - 4 to 9 storeys,17/01/2017 19:29
Bromley,Self contained Sheltered Housing,17/01/2017 05:57
Hillingdon,House - single occupancy,17/01/2017 22:06
Hillingdon,House - single occupancy,17/01/2017 19:01
Haringey,Converted Flat/Maisonette - Up to 2 storeys,17/01/2017 11:05
Redbridge,House - single occupancy,17/01/2017 11:45
Hammersmith And fulham,Hostel (e.g. for homeless people),17/01/2017 05:43
Haringey,House - single occupancy,17/01/2017 23:29
Newham,Purpose Built Flats/Maisonettes - Up to 3 storeys,17/01/2017 14:14
Redbridge,House - single occupancy,17/01/2017 20:18
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,17/01/2017 15:04
Westminster,Hostel (e.g. for homeless people),18/01/2017 14:42
Hounslow,Purpose Built Flats/Maisonettes - Up to 3 storeys,18/01/2017 07:16
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,18/01/2017 23:11
Ealing,Converted Flat/Maisonettes - 3 or more storeys,18/01/2017 22:47
Bromley,House - single occupancy,18/01/2017 20:44
Harrow,House - single occupancy,18/01/2017 20:41
Newham,Purpose Built Flats/Maisonettes - Up to 3 storeys,18/01/2017 01:33
Greenwich,House - single occupancy,18/01/2017 16:39
Redbridge,House - single occupancy,18/01/2017 06:33
Wandsworth,House - single occupancy,18/01/2017 05:56
Croydon,House - single occupancy,18/01/2017 19:36
Croydon,House - single occupancy,18/01/2017 08:13
Lambeth,Purpose Built Flats/Maisonettes - 4 to 9 storeys,18/01/2017 13:57
Barking And dagenham,House - single occupancy,18/01/2017 20:43
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,18/01/2017 11:52
Enfield,Purpose Built Flats/Maisonettes - 10 or more storeys,18/01/2017 23:23
Bexley,Purpose Built Flats/Maisonettes - Up to 3 storeys,18/01/2017 16:46
Bromley,House - single occupancy,18/01/2017 03:17
Camden,House - single occupancy,18/01/2017 06:20
Barnet,Retirement/Old Persons Home,19/01/2017 19:10
Hackney,Hotel/motel,19/01/2017 20:00
Croydon,House - single occupancy,19/01/2017 09:29
Brent,Nursing/Care Home/Hospice,19/01/2017 07:33
Enfield,Purpose Built Flats/Maisonettes - 4 to 9 storeys,19/01/2017 16:00
Croydon,House - single occupancy,19/01/2017 13:58
Croydon,House - single occupancy,19/01/2017 17:47
Kensington And chelsea,House - single occupancy,19/01/2017 10:20
Barnet,House - single occupancy,19/01/2017 08:57
Greenwich,House - single occupancy,19/01/2017 14:20
Hounslow,Purpose Built Flats/Maisonettes - Up to 3 storeys,19/01/2017 17:46
Islington,Purpose Built Flats/Maisonettes - 4 to 9 storeys,19/01/2017 10:46
Croydon,House - single occupancy,19/01/2017 20:45
Kensington And chelsea,Purpose Built Flats/Maisonettes - 4 to 9 storeys,19/01/2017 18:58
Newham,Self contained Sheltered Housing,20/01/2017 21:29
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,20/01/2017 21:31
Hounslow,House - single occupancy,20/01/2017 22:07
Barking And dagenham,Other Dwelling,20/01/2017 15:23
Kensington And chelsea,Converted Flat/Maisonettes - 3 or more storeys,20/01/2017 04:24
Bromley,Bungalow - single occupancy,20/01/2017 17:39
Islington,Purpose Built Flats/Maisonettes - Up to 3 storeys,20/01/2017 08:15
Southwark,House - single occupancy,20/01/2017 22:30
Wandsworth,House - single occupancy,20/01/2017 14:37
Haringey,House - single occupancy,20/01/2017 19:12
Waltham Forest,House - single occupancy,20/01/2017 09:38
Wandsworth,House - single occupancy,20/01/2017 07:48
Greenwich,Purpose Built Flats/Maisonettes - Up to 3 storeys,20/01/2017 21:40
Kensington And chelsea,Converted Flat/Maisonettes - 3 or more storeys,20/01/2017 03:55
Brent,Purpose Built Flats/Maisonettes - Up to 3 storeys,20/01/2017 14:35
Brent,Self contained Sheltered Housing,20/01/2017 15:05
Croydon,Purpose Built Flats/Maisonettes - Up to 3 storeys,20/01/2017 04:35
Ealing,Converted Flat/Maisonette - Up to 2 storeys,20/01/2017 02:40
Hammersmith And fulham,Converted Flat/Maisonette - Up to 2 storeys,20/01/2017 11:26
Westminster,Military/barracks,20/01/2017 17:25
Ealing,Purpose Built Flats/Maisonettes - 10 or more storeys,21/01/2017 18:55
Enfield,Purpose Built Flats/Maisonettes - 10 or more storeys,21/01/2017 23:57
Not geo-coded,Houseboat (permanent dwelling),21/01/2017 20:43
Haringey,House - single occupancy,21/01/2017 16:25
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,21/01/2017 07:22
Greenwich,Purpose Built Flats/Maisonettes - 4 to 9 storeys,21/01/2017 03:00
Hillingdon,House - single occupancy,21/01/2017 10:50
Waltham Forest,House - single occupancy,21/01/2017 05:01
Sutton,House - single occupancy,21/01/2017 22:05
Lambeth,Purpose Built Flats/Maisonettes - Up to 3 storeys,21/01/2017 10:55
Harrow,Converted Flat/Maisonette - Up to 2 storeys,21/01/2017 17:01
Lambeth,Converted Flat/Maisonettes - 3 or more storeys,21/01/2017 13:11
Brent,House - single occupancy,21/01/2017 19:40
Westminster,House - single occupancy,21/01/2017 22:45
Lewisham,Purpose Built Flats/Maisonettes - 10 or more storeys,22/01/2017 13:47
Harrow,House - single occupancy,22/01/2017 17:11
Ealing,House - single occupancy,22/01/2017 09:57
Ealing,Purpose Built Flats/Maisonettes - 4 to 9 storeys,22/01/2017 15:19
Newham,House - single occupancy,22/01/2017 12:39
Barking And dagenham,House - single occupancy,22/01/2017 21:01
Waltham Forest,Purpose Built Flats/Maisonettes - Up to 3 storeys,22/01/2017 15:21
Ealing,Converted Flat/Maisonette - Up to 2 storeys,22/01/2017 19:48
Waltham Forest,House - single occupancy,22/01/2017 16:30
Hackney,Purpose Built Flats/Maisonettes - 4 to 9 storeys,22/01/2017 18:17
Hounslow,House - single occupancy,22/01/2017 00:27
Southwark,Converted Flat/Maisonettes - 3 or more storeys,22/01/2017 15:56
Croydon,House - single occupancy,22/01/2017 00:30
Tower Hamlets,Purpose Built Flats/Maisonettes - 4 to 9 storeys,22/01/2017 19:26
Newham,Converted Flat/Maisonette - Up to 2 storeys,22/01/2017 23:16
Hillingdon,House - single occupancy,22/01/2017 15:29
Barking And dagenham,Purpose Built Flats/Maisonettes - 4 to 9 storeys,22/01/2017 20:01
Waltham Forest,Purpose Built Flats/Maisonettes - Up to 3 storeys,22/01/2017 02:44
Lewisham,Purpose Built Flats/Maisonettes - Up to 3 storeys,22/01/2017 10:51
Enfield,Unlicensed House in Multiple Occupation - Up to 2 storeys,22/01/2017 19:10
Lambeth,House - single occupancy,22/01/2017 16:31
Kensington And chelsea,Converted Flat/Maisonettes - 3 or more storeys,22/01/2017 16:58
Westminster,Purpose Built Flats/Maisonettes - 4 to 9 storeys,22/01/2017 07:42
Newham,House - single occupancy,22/01/2017 00:43
Newham,Purpose Built Flats/Maisonettes - 10 or more storeys,22/01/2017 14:24
Bromley,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/01/2017 14:13
Enfield,House - single occupancy,23/01/2017 18:45
Richmond Upon thames,Purpose Built Flats/Maisonettes - Up to 3 storeys,23/01/2017 22:59
Croydon,House - single occupancy,23/01/2017 19:27
